Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1071,78,27,2020-01-03--2020-01-10,Sucker,"4,543,863",Jonas Brothers,5436999,22vgEDb5hykfaTwLuskFGD,"['boy band', 'dance pop', 'pop', 'post-teen pop']",6/7/2019,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",81.00,0.80,0.70,-5.07,0.06,0.04,0.11,137.96,181027.00,0.95,C#/Db
1072,147,27,2020-01-03--2020-01-10,I Like Me Better,"4,430,642",Lauv,4442273,2P91MQbaiQOfbiz9VqhqKQ,"['dance pop', 'electropop', 'pop', 'post-teen pop']",5/31/2018,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",82.00,0.80,0.50,-7.62,0.25,0.54,0.10,91.97,197437.00,0.42,A
1073,116,21,2019-12-27--2020-01-03,High Hopes,"4,426,791",Panic! At The Disco,10850424,1rqqCSm0Qe4I9rUvWncaom,['modern rock'],6/22/2018,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-20--2020-03-27
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",81.00,0.60,0.90,-2.73,0.06,0.19,0.06,82.01,190947.00,0.68,F
1074,88,27,2020-01-03--2020-01-10,Money In The Grave (Drake ft. Rick Ross),"4,403,348",Drake,56327031,5ry2OE6R2zPQFDO85XkgRb,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",6/15/2019,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",78.00,0.80,0.50,-4.05,0.05,0.10,0.12,100.54,205427.00,0.10,A#/Bb
1075,25,9,2020-05-15--2020-05-22,Say So (feat. Nicki Minaj),"4,385,148",Doja Cat,8671649,11VApNQCWLJdzxWrlmwzUa,"['dance pop', 'pop']",5/1/2020,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08",69.00,0.90,0.60,-4.64,0.20,0.12,0.43,111.00,206221.00,0.75,B
1076,189,1,2020-06-26--2020-07-03,Karaoke,"4,374,448","Boomdabash, Alessandra Amoroso",1251372,3n6TeHSnNhDe991nJS2S90,[],8/10/2021,2020-06-26--2020-07-03,0.00,0.90,0.60,-5.73,0.14,0.29,0.39,122.03,156493.00,0.58,C#/Db
1077,36,21,2020-02-07--2020-02-14,Know Your Worth,"4,374,392","Khalid, Disclosure",14190858,0TrPqhAMoaKUFLR7iYDokf,['pop'],2/4/2020,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14",76.00,0.80,0.70,-7.73,0.07,0.15,0.28,103.01,181436.00,0.51,A
1078,26,27,2020-01-03--2020-01-10,No Idea,"4,369,849",Don Toliver,1606884,7AzlLxHn24DxjgQX73F9fU,"['rap', 'trap']",3/13/2020,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",80.00,0.70,0.60,-5.72,0.09,0.52,0.17,128.00,154424.00,0.35,F#/Gb
1079,145,7,2020-06-19--2020-06-26,Airwaves,"4,352,767",Pashanim,208926,5CqkgDH8QZjSqqI3HmYxDD,"['german alternative rap', 'german drill', 'german hip hop', 'german trap']",5/14/2020,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22",71.00,0.90,0.60,-7.42,0.08,0.07,0.10,132.00,178933.00,0.39,F
1080,196,1,2020-06-26--2020-07-03,Kill This Love,"4,341,050",BLACKPINK,23848461,6hvczQ05jc1yGlp9zhb95V,"['k-pop', 'k-pop girl group']",4/5/2019,2020-06-26--2020-07-03,76.00,0.80,0.80,-5.23,0.19,0.32,0.23,131.88,191050.00,0.65,D
